"EXID","ExCreation","ExThreat","ExTTPs","ExCategories","ExGroups","ExSoftware","ExStructure","ExMaturity","ExComplexity","ExLength","ExAudience","ExTradeCraftIntra","ExTradeCraftInter"
1,2021-12-07,"Ransomware","Credential Dumping;Process Injection;Access Token Manipulation;Defense Evasion","Dark web;Malware","Wizard Spider;FIN6;TA505;UNC1878;DarkSide;REvil;LockBit;Conti;BlackMatter","TrickBot","Notification;Response;Impact;Validation;Developments;Privacy;Exfiltration;Media",5,1,45,"Network;SecOps",0,0.75
2,2023-07-02,"Banking Trojan","Malicious File;Persistence;Valid Accounts","Data breach;Financial","Dridex Group;Evil Corp;Carbanak;Ursnif Operators","Dridex;TrickBot","Impact;Notification;Exfiltration;Detection;Media;Response;Developments;Legal;Validation;Privacy",4,5,75,"Media;SecOps",0.666666666666667,1
3,2022-12-26,"Ransomware","Password Spraying;File and Directory Discovery;Registry Run Keys","Crypto;Impact","Wizard Spider;FIN6;TA505;UNC1878;DarkSide;REvil;LockBit;Conti;BlackMatter","TrickBot;Maze","Exfiltration;Impact;Response;Validation;Media;Notification;Privacy;Detection;Developments;Legal",2,5,30,"Media;SecOps",0,0.666666666666667
4,2021-04-26,"Remote Access Trojan;Crypto Miner","Drive-by Compromise;Credential Access;Malicious File;Execution;Command and Scripting Interpreter;Windows Management Instrumentation;Rootkit","C2;APT;Supply Chain","APT33;FIN7;APT41;APT3;Turla;Rocke;Panda;Blue Mockingbird;TeamTNT;Kinsing;8220 Gang","NanoCore;QuasarRAT;PlugX;XMRig;Kinsing;CoinMiner","Notification;Media;Developments;Response;Legal;Exfiltration",4,3,165,"Network;SecOps",0.428571428571429,0.714285714285714
5,2022-10-20,"Data Breach","Execution;Process Injection;Brute Force","Crypto;Botnet","APT29;FIN4;Charming Kitten;APT10;APT1;Cobalt Group;Carbanak","Empire;Mimikatz;BloodHound","Media;Exfiltration;Response;Detection;Validation;Developments;Privacy;Legal;Impact",1,5,150,"Media;SecOps",0.333333333333333,0.666666666666667
6,2021-08-18,"DDoS;Crypto Miner","Service Stop;Valid Accounts;Drive-by Compromise;Discovery","Exfiltration;DDoS;Dark web;Crypto","APT28;Lizard Squad;Armada Collective;Fancy Bear;Anonymous;Killnet;Rocke;Panda;Blue Mockingbird;TeamTNT;Kinsing;8220 Gang","LOIC;GrooVe;CoinMiner;Kinsing;TeamTNT Scripts","Legal;Validation;Developments;Exfiltration;Notification;Media;Response",4,4,135,"Exec;Network",0.75,1
7,2021-12-19,"Ransomware;Data Breach","Service Stop;Remote File Copy;Account Discovery;Exfiltration;Impact;User Execution","DDoS;APT;Web;Exfiltration","Wizard Spider;FIN6;TA505;UNC1878;DarkSide;REvil;LockBit;Conti;BlackMatter;APT29;FIN4;Charming Kitten;APT10;APT1;Cobalt Group;Carbanak","REvil;BloodHound;Empire","Privacy;Media;Validation;Legal;Response;Developments;Impact",4,4,180,"Exec;Network",0.5,0.666666666666667
8,2023-12-06,"Ransomware","User Execution;System Information Discovery;Application Layer Protocol","APT;Data breach","Wizard Spider;FIN6;TA505;UNC1878;DarkSide;REvil;LockBit;Conti;BlackMatter","LockBit;TrickBot","Response;Exfiltration;Developments",1,5,75,"SecOps;Network",0.666666666666667,1
9,2023-05-23,"Ransomware","Application Layer Protocol;Signed Binary Proxy Execution","Supply Chain;Exfiltration;Botnet","Wizard Spider;FIN6;TA505;UNC1878;DarkSide;REvil;LockBit;Conti;BlackMatter","Ryuk","Validation;Impact;Media;Response",2,3,135,"SecOps;Media",0.5,1
10,2022-04-27,"Web Shell","Credential Access;Discovery;Privilege Escalation;System Information Discovery","Ransom negotiation;Web;Financial;Botnet","Chopper Operators;APT34;APT39","KONNI","Impact;Validation;Developments;Legal;Media;Response;Exfiltration;Privacy;Detection",1,4,75,"Legal;SecOps",0.5,1
11,2021-03-14,"Insider Threat;DDoS","Exfiltration;Command and Scripting Interpreter;Trusted Relationship;Discovery;Valid Accounts;Network Service Scanning","Crypto;Financial","Unknown Insider;Edward Snowden;Chelsea Manning;APT28;Lizard Squad;Armada Collective;Fancy Bear;Anonymous;Killnet","PsExec;Mimikatz;Mirai","Notification;Media;Privacy;Validation;Developments;Legal;Response;Exfiltration",3,4,75,"Exec;Media",1,0.833333333333333
12,2022-08-17,"Banking Trojan","Phishing;Data Staged","Ransom negotiation;Exfiltration;Botnet;Web","Dridex Group;Evil Corp;Carbanak;Ursnif Operators","Emotet","Exfiltration;Notification;Developments;Legal;Media;Privacy;Validation;Detection",5,5,165,"SecOps;Legal",0,1
13,2021-10-24,"Data Breach;Insider Threat","Signed Binary Proxy Execution;Exfiltration;Unsecured Credentials;OS Credential Dumping;Scheduled Task/Job","Supply Chain;Malware;Botnet;Data breach","APT29;FIN4;Charming Kitten;APT10;APT1;Cobalt Group;Carbanak;Unknown Insider;Edward Snowden;Chelsea Manning","Mimikatz;LaZagne;Rubeus;PowerShell;SharpHound","Notification;Validation;Response",1,3,225,"Network;Media",0.8,0.6
14,2022-07-06,"Phishing;DDoS","Signed Binary Proxy Execution;Initial Access;Phishing;Obfuscated Files or Information;Defense Evasion;Network Service Scanning;Impact","Financial;Dark web;Exfiltration","Cobalt Group;Molerats;SILENT LIBRA;FIN7;Lazarus Group;APT32;Evilnum;APT28;Lizard Squad;Armada Collective;Fancy Bear;Anonymous;Killnet","PhishMe;GrooVe","Legal;Notification;Privacy",1,5,60,"Media;Exec",0.714285714285714,1
15,2021-12-03,"Supply Chain","User Execution;Phishing;Exfiltration","Ransom negotiation;Web;Impact","APT41;UNC2452;ShadowPad;Equation Group","CCleaner;Sunburst","Impact;Privacy;Validation",4,5,30,"Network;SecOps",0.333333333333333,1
16,2022-07-16,"Banking Trojan;Data Breach","Unsecured Credentials;Obfuscated Files or Information;Execution;Discovery;Initial Access;Persistence;Valid Accounts","Financial;Exfiltration;Crypto","Dridex Group;Evil Corp;Carbanak;Ursnif Operators;APT29;FIN4;Charming Kitten;APT10;APT1;Cobalt Group","Ursnif;Zeus;Emotet;LaZagne","Response;Impact;Notification;Legal",5,4,120,"Legal;Threat Intel",0.857142857142857,0.857142857142857
17,2022-10-28,"DDoS;Crypto Miner","Execution;Scheduled Task/Job;Persistence;Command and Control;Defense Evasion","Ransom negotiation;Botnet;Initial Access;Exfiltration","APT28;Lizard Squad;Armada Collective;Fancy Bear;Anonymous;Killnet;Rocke;Panda;Blue Mockingbird;TeamTNT;Kinsing;8220 Gang","Mirai;HOIC;MÄ“ris;TeamTNT Scripts;XMRig;MinerGate","Notification;Response;Privacy;Validation;Legal;Media;Detection;Impact;Developments",4,3,240,"SecOps;Network",0.6,1
18,2022-07-05,"Web Shell","Web Shell;Defense Evasion;Privilege Escalation","Crypto;Financial;DDoS","Chopper Operators;APT34;APT39","ASPXSpy;China Chopper;WSO Web Shell","Media;Validation;Notification;Detection;Exfiltration;Developments",2,2,45,"Network;SecOps",0.333333333333333,0.666666666666667
19,2023-09-10,"Remote Access Trojan;DDoS","Masquerading;Valid Accounts;Lateral Movement;Data Staged;Impact;Drive-by Compromise","Ransom negotiation;Initial Access;Botnet","APT33;FIN7;APT41;APT3;Turla;APT28;Lizard Squad;Armada Collective;Fancy Bear;Anonymous;Killnet","PlugX;QuasarRAT;Mirai;HOIC","Privacy;Exfiltration;Notification",4,3,135,"Network;Legal",0.666666666666667,0.833333333333333
20,2022-08-01,"Insider Threat;Supply Chain","Defense Evasion;Trusted Relationship;OS Credential Dumping;Remote Services;Remote Desktop Protocol","Financial;Crypto;Data breach","Unknown Insider;Edward Snowden;Chelsea Manning;APT41;UNC2452;ShadowPad;Equation Group","KeePass;PsExec;Mimikatz;CCleaner","Detection;Validation;Privacy;Exfiltration",4,1,105,"Media;SecOps",0.4,0.2
21,2022-08-10,"Web Shell","Discovery;Network Service Scanning;Privilege Escalation","Ransom negotiation;DDoS;Malware;Initial Access","Chopper Operators;APT34;APT39","China Chopper;ASPXSpy","Response;Legal;Notification;Validation;Detection;Developments;Impact",4,2,45,"Exec;Threat Intel",0.666666666666667,1
22,2024-01-05,"Data Breach","User Execution;Access Token Manipulation","Botnet;Supply Chain;Financial;Data breach","APT29;FIN4;Charming Kitten;APT10;APT1;Cobalt Group;Carbanak","LaZagne;Empire;BloodHound","Developments;Response;Impact;Privacy;Detection;Exfiltration",3,4,90,"Network;SecOps",0.5,1
23,2023-04-17,"Banking Trojan","Privilege Escalation;Execution","Ransom negotiation;Botnet;Web","Dridex Group;Evil Corp;Carbanak;Ursnif Operators","Dridex","Validation;Legal;Media;Response;Notification;Impact;Privacy;Exfiltration",5,4,150,"SecOps;Legal",0.5,1
24,2024-03-12,"Remote Access Trojan;Phishing","Command and Scripting Interpreter;Application Layer Protocol;Impact;Internal Spearphishing;Scripting;Masquerading;Obfuscated Files or Information","APT;Malware","APT33;FIN7;APT41;APT3;Turla;Cobalt Group;Molerats;SILENT LIBRA;Lazarus Group;APT32;Evilnum","njRAT;PlugX;Agent Tesla;King Phisher","Validation;Impact;Developments;Privacy;Legal;Media;Response;Notification",3,3,105,"Network;SecOps",0.571428571428571,0.714285714285714
25,2021-02-28,"Web Shell;Supply Chain","Privilege Escalation;Drive-by Compromise;Data Exfiltration Over Web Service;Persistence;Account Manipulation;Obfuscated Files or Information;Masquerading","Impact;Financial","Chopper Operators;APT34;APT39;APT41;UNC2452;ShadowPad;Equation Group","ASPXSpy;SolarWinds;ShadowPad;NotPetya","Notification;Privacy;Impact;Media;Response;Legal;Validation",4,5,210,"SecOps;Threat Intel",0.285714285714286,0.857142857142857
26,2021-03-22,"Banking Trojan;DDoS","Execution;Scheduled Task/Job;Registry Run Keys;Impact;Defense Evasion;Initial Access;Command and Scripting Interpreter","Supply Chain;Crypto;Initial Access;Web","Dridex Group;Evil Corp;Carbanak;Ursnif Operators;APT28;Lizard Squad;Armada Collective;Fancy Bear;Anonymous;Killnet","Zeus;Mirai;LOIC","Notification;Exfiltration;Impact;Privacy",2,2,165,"Vulnerability Management;Network",0.857142857142857,0.857142857142857
27,2022-01-09,"Banking Trojan;Remote Access Trojan","Network Service Scanning;Remote System Discovery;Boot or Logon Autostart Execution;Defense Evasion;Command and Control;Masquerading;Execution;Persistence","Ransom negotiation;Botnet;Data breach;Initial Access","Dridex Group;Evil Corp;Carbanak;Ursnif Operators;APT33;FIN7;APT41;APT3;Turla","Ursnif;Emotet;PlugX","Response;Developments;Notification;Detection;Legal;Validation;Impact",3,4,105,"Media;Network",0.5,0.75
28,2024-05-22,"Insider Threat","Signed Binary Proxy Execution;Password Spraying;Access Token Manipulation;Account Manipulation","APT;Malware","Unknown Insider;Edward Snowden;Chelsea Manning","PowerShell","Legal;Impact;Privacy",2,2,120,"SecOps;Exec",0.25,1
29,2022-05-07,"Supply Chain","Malicious File;Exfiltration","Web;Impact","APT41;UNC2452;ShadowPad;Equation Group","NotPetya;Sunburst","Detection;Privacy;Media;Legal;Impact;Response;Developments;Validation;Notification",4,5,225,"SecOps;Network",0.5,1
30,2023-09-22,"Web Shell;Data Breach","Unsecured Credentials;Service Stop;Discovery;Valid Accounts;Masquerading","C2;Ransom negotiation;Web;Impact","Chopper Operators;APT34;APT39;APT29;FIN4;Charming Kitten;APT10;APT1;Cobalt Group;Carbanak","China Chopper;KONNI;Mimikatz;Empire","Detection;Legal;Response;Validation;Exfiltration;Developments;Impact;Media;Notification",2,2,30,"SecOps;Threat Intel",1,0.8
